DPORT_PRO_BOOT_REMAP_CTRL_REG, remap mode for PRO_CPU, 0x3FF00000, R/W
DPORT_APP_BOOT_REMAP_CTRL_REG, remap mode for APP_CPU, 0x3FF00004, R/W
DPORT_CACHE_MUX_MODE_REG, the mode of the two caches sharing the memory, 0x3FF0007C, R/W
DPORT_CPU_PER_CONF_REG, Selects CPU clock, 0x3FF0003C, R/W
DPORT_CPU_INTR_FROM_CPU_0_REG, interrupt 0 in both CPUs, 0x3FF000DC, R/W
DPORT_CPU_INTR_FROM_CPU_1_REG, interrupt 1 in both CPUs, 0x3FF000E0, R/W
DPORT_CPU_INTR_FROM_CPU_2_REG, interrupt 2 in both CPUs, 0x3FF000E4, R/W
DPORT_CPU_INTR_FROM_CPU_3_REG, interrupt 3 in both CPUs, 0x3FF000E8, R/W
DPORT_PRO_INTR_STATUS_REG_0_REG, PRO_CPU interrupt status 0, 0x3FF000EC, RO
DPORT_PRO_INTR_STATUS_REG_1_REG, PRO_CPU interrupt status 1, 0x3FF000F0, RO
DPORT_PRO_INTR_STATUS_REG_2_REG, PRO_CPU interrupt status 2, 0x3FF000F4, RO
DPORT_APP_INTR_STATUS_REG_0_REG, APP_CPU interrupt status 0, 0x3FF000F8, RO
DPORT_APP_INTR_STATUS_REG_1_REG, APP_CPU interrupt status 1, 0x3FF000FC, RO
DPORT_APP_INTR_STATUS_REG_2_REG, APP_CPU interrupt status 2, 0x3FF00100, RO
DPORT_PRO_MAC_INTR_MAP_REG, interrupt map, 0x3FF00104, R/W
DPORT_PRO_MAC_NMI_MAP_REG, interrupt map, 0x3FF00108, R/W
DPORT_PRO_BB_INT_MAP_REG, interrupt map, 0x3FF0010C, R/W
DPORT_PRO_BT_MAC_INT_MAP_REG, interrupt map, 0x3FF00110, R/W
DPORT_PRO_BT_BB_INT_MAP_REG, interrupt map, 0x3FF00114, R/W
DPORT_PRO_BT_BB_NMI_MAP_REG, interrupt map, 0x3FF00118, R/W
DPORT_PRO_RWBT_IRQ_MAP_REG, interrupt map, 0x3FF0011C, R/W
DPORT_PRO_RWBLE_IRQ_MAP_REG, interrupt map, 0x3FF00120, R/W
DPORT_PRO_RWBT_NMI_MAP_REG, interrupt map, 0x3FF00124, R/W
